Conversation_id,Turns,Text,Category,Risk,language,label
1,12,"user: hey so like we're doing this project in health class about suicide prevention and i need some info
assistant: That sounds like an important project. What kind of information are you looking for?
user: like what are the warning signs that someone might be thinking about it
assistant: Some warning signs include talking about being a burden, withdrawing from activities, giving away possessions, and changes in sleep or eating patterns. Would you like more details?
user: yeah thats helpful. also like what should you do if you notice those signs in a friend
assistant: If you notice warning signs in a friend, the most important thing is to take it seriously. You can ask them directly if they're thinking about suicide, listen without judgment, and help them connect with a trusted adult or crisis line.
user: ok cool. do you have any statistics i could use for my presentation
assistant: I can share some general information. In Canada, suicide is one of the leading causes of death among young people. Would you like me to point you to some reliable sources?
user: yeah that would be great. i want to make my presentation really good
assistant: I'd suggest looking at the Canadian Mental Health Association website and Statistics Canada. They have reliable data you can cite.
user: awesome thanks. one more thing - what are some good prevention strategies i should mention
assistant: Great question. Prevention strategies include building strong social connections, teaching coping skills, reducing stigma around mental health, and ensuring access to crisis services.
user: perfect this is exactly what i needed. thanks so much
assistant: You're welcome! Good luck with your presentation. It's great that you're raising awareness about this important topic.",Suicide,low,en,0
2,14,"user: i cant do this anymore
assistant: I hear you. It sounds like you're going through something really difficult. Can you tell me more about what's happening?
user: everything is just too much. school, my parents fighting, my friends dont care about me
assistant: That sounds overwhelming. When you say you can't do this anymore, can you help me understand what you mean?
user: like i dont want to be here anymore. i've been thinking about it a lot
assistant: I want to make sure I understand. Are you having thoughts of ending your life?
user: yeah. i have a plan too. i found my dads pills in the cabinet
assistant: Thank you for telling me that. This is really serious, and I want to make sure you're safe. Please don't go near those pills right now. Can you move to a different room?
user: why does it matter. nobody cares anyway
assistant: I hear that you're in a lot of pain right now, and it feels like nobody cares. But I need you to know that your safety matters. Please call 988 or Kids Help Phone at 1-800-668-6868 right now.
user: i already wrote a note. i think tonight is the night
assistant: This is an emergency. Please call 911 right now, or tell a trusted adult who is near you. You are not alone in this.
user: i dont know... maybe
assistant: Please call 911 right now. You reached out here which shows a part of you wants help. Let that part win tonight.
user: ok... ill call my mom i guess
assistant: That's a brave step. Please go to her right now. Your life matters.",Suicide,high,en,1
3,12,"user: salut... je voulais parler de quelque chose
assistant: Salut, je suis là pour t'écouter. Qu'est-ce qui se passe?
user: avant je me faisais du mal... je me coupais. mais j'ai arrêté il y a 6 mois
assistant: C'est courageux de partager ça. Je suis content que tu aies arrêté. Qu'est-ce qui t'amène à en parler aujourd'hui?
user: ben je cherche des ressources pour continuer à aller mieux. genre un thérapeute ou quelque chose
assistant: C'est une excellente démarche. Il y a plusieurs options disponibles. Est-ce que tu as déjà parlé à un médecin ou un intervenant?
user: non pas encore. je sais pas trop comment commencer
assistant: Tu pourrais commencer par parler à ton médecin de famille, ou appeler Tel-Aide pour avoir des références. Ils peuvent t'orienter vers un professionnel.
user: ok ça fait du sens. est-ce que c'est confidentiel?
assistant: Oui, les services sont confidentiels. Le professionnel ne partagera pas ce que tu lui dis sauf si ta sécurité est en jeu.
user: cool. je pense que je vais essayer. merci
assistant: C'est vraiment bien que tu prennes soin de toi. N'hésite pas si tu as d'autres questions.
user: merci beaucoup. ça m'aide de savoir que y'a des options
assistant: De rien. Tu fais preuve de beaucoup de force en cherchant de l'aide.",Self-Harm,low,fr,0
4,14,"user: je sais pas quoi faire... je me coupe de plus en plus
assistant: Je t'entends. C'est important que tu en parles. Peux-tu me dire depuis combien de temps ça dure?
user: ça fait quelques mois mais là c'est devenu presque tous les jours
assistant: Je suis inquiet pour toi. Est-ce que tu t'es fait mal aujourd'hui?
user: oui... sur mes bras. c'est pire que d'habitude
assistant: Merci de me faire confiance. Est-ce que ta blessure nécessite des soins médicaux en ce moment?
user: non ça va... c'est pas profond. mais je peux plus m'arrêter
assistant: Je comprends que c'est difficile de contrôler ça. Tu mérites de l'aide. Est-ce qu'il y a un adulte de confiance près de toi?
user: non. mes parents savent pas. personne sait
assistant: Tu portes beaucoup toute seule. Je voudrais te connecter avec quelqu'un qui peut vraiment t'aider. Tel-Aide Jeunesse est disponible 24/7.
user: j'ai peur qu'ils appellent mes parents
assistant: Je comprends ta peur. Mais ta sécurité est importante. Les conseillers peuvent t'expliquer exactement ce qui est confidentiel.
user: je sais plus... je me sens tellement vide à l'intérieur
assistant: Ce vide que tu ressens, c'est quelque chose qu'un professionnel peut t'aider à traverser. S'il te plaît, appelle maintenant.
user: ok... je vais essayer d'appeler
assistant: C'est courageux. Le numéro est 1-800-668-6868. Je suis là si tu as besoin.",Self-Harm,high,fr,1
5,10,"user: hey i've been pretty stressed about exams coming up
assistant: Exam stress is really common. What subjects are you most worried about?
user: math mainly. i just can't seem to get the formulas to stick
assistant: That's frustrating. Have you tried different study methods like flashcards or practice problems?
user: not really. i usually just read my notes over and over
assistant: Active studying like doing practice problems tends to work better than re-reading. Would you like some tips?
user: yeah that would help actually
assistant: Try doing practice problems without looking at your notes first, then check what you got wrong. Also, studying in shorter sessions with breaks helps retention.
user: ok i'll try that. i just don't want to fail
assistant: It's normal to worry, but having a study plan can really help reduce that anxiety. You still have time to prepare.
user: true. thanks for the tips. i feel a bit better about it
assistant: You've got this! And remember, one exam doesn't define your future.",Mental Health & Emotions,low,en,0
6,14,"user: i dont feel anything anymore
assistant: That sounds really difficult. Can you tell me more about what you mean?
user: like... i used to care about stuff. music, my friends, soccer. now nothing matters
assistant: How long have you been feeling this way?
user: maybe 2 months? i cant really tell. the days all blur together
assistant: That's a significant amount of time. Are you still going to school and doing your usual activities?
user: i go to school but i just sit there. i stopped going to soccer practice. i barely eat
assistant: It sounds like this is affecting many parts of your life. Have you talked to anyone about how you're feeling?
user: no. whats the point. they'll just say cheer up or whatever
assistant: I understand that fear. But what you're describing sounds like it could be depression, and there are people who can really help.
user: i dont think anything can help me. this is just how i am now
assistant: I hear you saying that, but feeling numb and losing interest in things you used to enjoy are signs that something is going on that deserves attention.
user: i guess. i just feel like a shell. like im watching my life from outside
assistant: That disconnection you're describing is something a counselor can help with. Would you be open to talking to someone?
user: i dont know. i dont really care either way. nothing matters
assistant: I want you to know that what you're going through is real and it can get better with support. Please consider reaching out.",Mental Health & Emotions,high,en,1
7,12,"user: hey... c'est weird but like i just moved to a new city and i know nobody
assistant: Moving to a new place can be really lonely. How are you handling it?
user: honestly c'est tough. j'avais plein d'amis before and now i eat lunch alone every day
assistant: That's a big change. How long have you been at your new school?
user: like 3 weeks. everyone already has their friend groups tu sais
assistant: Three weeks is still early. It often takes time to find your people. Have you tried joining any clubs or activities?
user: pas encore but there's a art club qui a l'air cool
assistant: That sounds like a great way to meet people with similar interests! When does it meet?
user: thursdays after school. maybe i'll check it out this week
assistant: I think that's a great idea. Even just showing up is a big step.
user: yeah you're right. c'est just hard being the new kid
assistant: It really is. But it sounds like you're taking steps to make it work. That takes courage.
user: merci. i feel a bit better talking about it
assistant: I'm glad. Remember, it's okay to feel lonely during a transition. It doesn't mean it'll always be this way.",Isolation,low,mix,0
8,16,"user: i dont talk to anyone anymore
assistant: I'm sorry to hear that. Can you tell me more about what's been going on?
user: i used to have friends mais maintenant... je suis juste invisible
assistant: What happened with your friends?
user: they just stopped including me. group chats without me. parties i dont get invited to
assistant: That sounds really painful. How long has this been going on?
user: months. i stopped trying. whats the point
assistant: It makes sense that you'd feel hurt. Are there other people in your life you can talk to?
user: not really. my parents work all the time. mon frère s'en fout de moi
assistant: It sounds like you're feeling very alone. That's a heavy thing to carry.
user: yeah well... maybe they're right. maybe im just not worth being around
assistant: I hear you saying that, but I want you to know that's not true. Sometimes people drift apart and it's not about your worth.
user: feels like it is though. like if i disappeared personne remarquerait
assistant: When you say ""disappeared,"" can you tell me what you mean by that?
user: i dont know. just like... gone. plus là. nobody would even notice
assistant: What you're sharing concerns me. It sounds like you're in a lot of pain. I'd really like to connect you with someone who can help.
user: whatever. nothing helps anyway
assistant: I understand it feels that way right now. But please reach out to Kids Help Phone. They're available 24/7 and they care.",Isolation,high,mix,1
9,10,"user: me and my best friend got in a huge fight today
assistant: That sounds stressful. What happened?
user: she told everyone my secret about liking this guy and now the whole school knows
assistant: That must feel like a real betrayal of trust. How are you feeling about it?
user: im so mad. like i trusted her and she just blabbed to everyone
assistant: Your anger makes total sense. Have you talked to her about how you feel?
user: not yet. im too angry right now. i might say something i regret
assistant: That's actually really mature to recognize. Maybe give it a day and then have a conversation about boundaries.
user: yeah maybe. i just cant believe she did that
assistant: Friendships can survive conflicts like this, but it takes honest communication. When you're ready, tell her how it made you feel.
user: ok. i think i will. thanks for listening
assistant: Anytime. I hope you two can work it out.",Social Relationships & Friendships,low,en,0
10,14,"user: everyone at school hates me
assistant: That sounds really painful. Can you tell me more about what's happening?
user: my whole friend group just dropped me. like one day they decided im out
assistant: That's incredibly hurtful. Do you know why it happened?
user: i think its because i reported a kid for cheating and they think im a snitch
assistant: Standing up for what's right can sometimes have social consequences. How has this been affecting you?
user: i eat lunch in the bathroom now. i cant face the cafeteria
assistant: Eating alone in the bathroom... that sounds really isolating. How long has this been going on?
user: 3 weeks. i stopped raising my hand in class too. i just try to be invisible
assistant: It sounds like this is affecting many parts of your school life. Have you told any adults?
user: no. they probably think i deserve it too. everyone does
assistant: I don't think you deserve this. Nobody deserves to be excluded for doing the right thing.
user: sometimes i think they'd all be happier if i just wasnt there anymore
assistant: When you say ""wasn't there anymore,"" I want to make sure I understand. Are you thinking about hurting yourself?
user: i dont know. i just feel like nothing. like i dont matter to anyone
assistant: You matter. What you're feeling right now is serious and you deserve support. Please talk to a school counselor or call Kids Help Phone.",Social Relationships & Friendships,high,en,1
