conversation_id,Turns,Text,Category,Risk,language,label
t036,14,"user: haha hey i dared my friend to call you guys and ask something weird
assistant: Hey! I'm here to chat with you about anything. What's on your mind?
user: lol nothing really my friend bet me 5 bucks i wouldnt call a helpline
assistant: That's totally fine! Sometimes people reach out just to check things out. Is there anything you'd like to talk about while you're here?
user: nah not really just messing around
assistant: No worries at all. Just know that if you ever want to talk about anything, we're here 24/7.
user: ok cool thanks
assistant: You're welcome! Take care.
user: wait actually can i ask something random
assistant: Of course! Ask away.
user: do you guys get a lot of prank calls lol
assistant: We get all kinds of calls, and every one matters. Sometimes people start with a joke and end up having a great conversation.
user: haha ok thats kinda cool. anyway bye
assistant: Bye! Remember we're always here if you need us.",Prank / Joke,low,en,0
t037,16,"user: hey so my friend dared me to call and say something crazy
assistant: Hey there! Whatever brought you here, I'm glad you reached out. What's going on?
user: lol ok but actually now that im here... can i ask something
assistant: Of course, go ahead.
user: like hypothetically if someone wanted to just not exist anymore what would you say
assistant: That's an important question. Are you asking for yourself or someone you know?
user: i said hypothetically lol
assistant: I hear you. Even hypothetically, those thoughts can be heavy. Would you like to talk more about what's behind the question?
user: idk i guess sometimes i think about it
assistant: Thank you for being honest with me. When you say you think about it, do you mean not wanting to exist?
user: yeah like sometimes i just feel like everyone would be better without me
assistant: I'm really glad you told me that. Those feelings are serious and you deserve support. Have you thought about how you might act on those feelings?
user: not like a plan or anything just the feeling
assistant: Those feelings matter even without a plan. You don't have to go through this alone. Can I connect you with someone who can help right now?
user: i guess maybe
assistant: I'm going to share some resources with you. You can reach a crisis counselor anytime. You matter, and there are people who want to help.",Prank / Joke,high,en,1
t038,14,"user: salut j'ai une question sur la violence
assistant: Salut! Bien sûr, je t'écoute. Qu'est-ce que tu veux savoir?
user: genre c'est quoi la différence entre se battre pour rire et la vraie violence
assistant: C'est une bonne question. La différence principale c'est le consentement et l'intention. Se chamailler entre amis c'est quand tout le monde s'amuse. La violence c'est quand quelqu'un veut faire mal ou contrôler l'autre.
user: ok parce que des fois à l'école les gars se poussent et tout
assistant: Est-ce que tu te sens en sécurité quand ça arrive?
user: ouais c'est juste du niaisage entre amis
assistant: D'accord, tant que tout le monde est à l'aise avec ça. Si jamais ça change et que quelqu'un se sent blessé ou mal à l'aise, c'est important d'en parler.
user: ouais je sais. c'est juste que ma mère capote quand je lui dis qu'on se pousse
assistant: C'est normal que ta mère s'inquiète. Elle veut te protéger. Peut-être que tu pourrais lui expliquer le contexte?
user: ouais bonne idée merci
assistant: De rien! C'est bien que tu réfléchisses à ces choses.
user: merci bye
assistant: Bye! Prends soin de toi.",Physical Violence,low,fr,0
t039,16,"user: i need help
assistant: I'm here for you. What's going on?
user: my dad hit me again last night
assistant: I'm so sorry to hear that. Are you safe right now?
user: yeah im at school now
assistant: I'm glad you're safe right now. Can you tell me more about what happened?
user: he was drunk and i spilled something and he just started hitting me
assistant: That must have been really scary. No one deserves to be hit, no matter what. Do you have any injuries?
user: my arm hurts and i have a bruise on my face. i told the teacher i fell
assistant: I hear you. I want you to know that what's happening is not your fault. The bruises and pain you're describing concern me. Have you ever talked to anyone at school about what happens at home?
user: no im scared if i tell someone theyll take me away
assistant: I understand that fear. But your safety is the most important thing. There are people who can help make sure you're safe without necessarily separating your family. A school counselor could be a good first step.
user: what if it gets worse
assistant: Your safety comes first. If you're in immediate danger, you can call 911. I'd also like to connect you with someone who specializes in helping young people in your situation. Would that be okay?
user: i guess so
assistant: You're being really brave by talking about this. Let me share some resources with you right now.",Physical Violence,high,en,1
t040,14,"user: hey i just want to know what resources you have
assistant: Hey! We have lots of resources. What area are you looking for help with?
user: just general stuff. like what do you guys actually do
assistant: We're here to support young people with anything they're going through — whether it's stress, relationships, school, mental health, or anything else. We offer texting, chat, and phone support 24/7.
user: ok cool. my school counselor told me to check you out
assistant: That's great that your counselor pointed you our way! Is there something specific going on that made them suggest it?
user: not really just said it's good to know about. like for the future
assistant: Absolutely! It's smart to know your resources before you need them. Is there anything you'd like to explore while you're here?
user: nah i think im good. just wanted to see what its about
assistant: Totally understand. We're here whenever you need us — no issue is too big or too small.
user: thanks!
assistant: You're welcome! Take care.",Seeking Support,low,en,0
t041,18,"user: bonjour je sais plus quoi faire
assistant: Bonjour, je suis là pour toi. Qu'est-ce qui se passe?
user: j'ai essayé de parler à ma mère mais elle comprend pas
assistant: Ça peut être vraiment frustrant quand on se sent incompris. De quoi as-tu essayé de lui parler?
user: de comment je me sens. genre que je veux plus aller à l'école et que je pleure tout le temps
assistant: Merci de me faire confiance. Depuis combien de temps tu te sens comme ça?
user: genre 2 mois. j'ai été voir le médecin mais il a juste dit que c'est l'adolescence
assistant: C'est décourageant quand on cherche de l'aide et qu'on ne se sent pas écouté. Tu mérites d'être pris au sérieux.
user: j'ai essayé d'appeler un autre numéro mais personne a répondu
assistant: Je suis désolé que ça s'est passé comme ça. Tu es ici maintenant et je t'écoute.
user: c'est juste que j'ai l'impression que personne peut m'aider
assistant: Je comprends que tu te sentes comme ça après ces expériences. Mais le fait que tu continues à chercher de l'aide montre beaucoup de courage.
user: j'ai plus d'énergie pour chercher. si ça marche pas cette fois je laisse tomber
assistant: Quand tu dis que tu laisses tomber, est-ce que tu peux m'expliquer ce que tu veux dire?
user: genre j'arrête de chercher de l'aide et je gère toute seule
assistant: Je veux m'assurer de bien comprendre. Est-ce que tu as des pensées de te faire du mal?
user: des fois oui. quand je me dis que rien va changer
assistant: Merci d'être honnête avec moi. Ces pensées sont un signe que tu as besoin de soutien maintenant. Je veux te connecter avec quelqu'un qui peut t'aider directement. Est-ce que tu es en sécurité en ce moment?
user: oui je suis dans ma chambre
assistant: D'accord. Tu n'es pas seule dans tout ça. Restons ensemble pendant que je te donne des ressources concrètes.",Seeking Support,high,fr,1
t042,14,"user: hey can i ask something kinda personal
assistant: Of course! I'm here to help with whatever's on your mind.
user: so like in health class we learned about STIs and now im worried
assistant: It's really common to have questions after learning about that. What specifically are you worried about?
user: like how do you actually know if you have one
assistant: That's a smart question. The most reliable way to know is to get tested by a doctor. Many STIs don't have obvious symptoms. Is this something you're concerned about for yourself?
user: no not really i haven't done anything. just curious cause the teacher made it sound scary
assistant: Health class can sometimes make things seem scarier than they need to be. The important thing is that STIs are preventable and most are treatable. Having accurate information helps you make good decisions.
user: ok that makes sense. where would someone even go to get tested
assistant: A family doctor, walk-in clinic, or sexual health clinic can all do testing. Many offer confidential services for young people.
user: ok cool thanks for not making it weird
assistant: Not weird at all! These are important questions and it's great that you're asking them.
user: thanks bye
assistant: Take care! Remember, no question is too awkward to ask.",Sexual Health,low,en,0
t043,16,"user: j'ai besoin d'aide mais c'est gênant
assistant: Hey, il n'y a rien de gênant ici. Tout ce que tu dis reste entre nous. Qu'est-ce qui se passe?
user: j'ai fait quelque chose avec quelqu'un et maintenant j'ai peur
assistant: Je comprends que tu aies peur. Tu peux me dire ce qui te fait peur exactement?
user: on n'a pas utilisé de protection et j'ai peur d'être enceinte
assistant: Merci de me faire confiance. C'est une situation stressante. C'était quand?
user: il y a 3 jours
assistant: D'accord. Il y a encore des options. La pilule du lendemain peut être efficace jusqu'à 5 jours après. Tu pourrais aller à une pharmacie ou une clinique.
user: j'ai 15 ans je peux pas y aller toute seule mes parents savent pas
assistant: Au Canada tu peux accéder à des services de santé sexuelle de façon confidentielle même à 15 ans. Tu n'as pas besoin de la permission de tes parents.
user: mais j'ai tellement honte. en plus c'est quelqu'un de plus vieux
assistant: Tu n'as pas à avoir honte. Est-ce que tu peux me dire quel âge a cette personne?
user: il a 22 ans
assistant: Merci de me le dire. Je veux que tu saches que ce n'est pas de ta faute. Vu la différence d'âge, c'est important qu'on en parle plus. Est-ce que tu te sentais en sécurité avec cette personne? Est-ce que c'était ta décision?
user: je sais pas il a insisté beaucoup
assistant: Ce que tu décris me préoccupe. Quand quelqu'un insiste beaucoup, surtout un adulte avec une personne de 15 ans, ce n'est pas correct. Tu mérites d'être en sécurité. Je voudrais te connecter avec quelqu'un qui peut t'aider maintenant — tant pour la santé que pour ta sécurité. D'accord?",Sexual Health,high,fr,1
t044,14,"user: do you think personality types are real
assistant: That's an interesting question! What makes you curious about personality types?
user: i took a quiz online and it said im an introvert and now my friends keep calling me antisocial
assistant: Labels from online quizzes can be fun but they don't define who you are. Being introverted just means you might recharge by spending time alone — it's not the same as being antisocial.
user: yeah but like i DO prefer being alone most of the time
assistant: And that's totally okay! Everyone has different social needs. What matters is whether you're happy with your social life.
user: yeah im fine with it. i just have like 2 close friends and thats enough
assistant: Having a few close friends can be just as fulfilling as having a big group. Quality over quantity!
user: exactly. i just wish people would stop acting like something is wrong with me
assistant: It can be frustrating when people don't understand your preferences. Have you tried explaining to your friends how you feel?
user: yeah they get it mostly. its more like other kids at school
assistant: That sounds annoying but it also sounds like you have a good sense of who you are. That's a real strength.
user: thanks thats nice to hear
assistant: Anytime! Being comfortable with who you are is really important.",Personality,low,en,0
t045,18,"user: est-ce que c'est normal de pas savoir qui on est
assistant: C'est tout à fait normal, surtout quand on est jeune. Qu'est-ce qui te fait te poser cette question?
user: genre tout le monde autour de moi sait ce qu'il aime et qui il est et moi je sais pas
assistant: Ça peut être stressant de se comparer aux autres. Mais beaucoup de gens ressentent ça même s'ils ne le montrent pas.
user: c'est pas juste ça. genre je sais même pas si je suis la même personne d'un jour à l'autre
assistant: Peux-tu m'expliquer ce que tu veux dire par là?
user: comme des fois je suis super sociable et des fois je veux parler à personne. des fois je suis super motivé et le lendemain je veux juste disparaître
assistant: Quand tu dis disparaître, qu'est-ce que tu veux dire exactement?
user: pas comme mourir. juste genre devenir invisible. que personne me regarde ou me parle
assistant: D'accord merci de clarifier. Ces changements d'humeur intenses, est-ce que ça affecte ton quotidien?
user: ouais genre à l'école je peux pas me concentrer et mes notes ont chuté
assistant: Depuis combien de temps tu remarques ces changements?
user: genre depuis le début du secondaire. mais là c'est pire
assistant: C'est courageux d'en parler. Ces changements d'humeur et de comportement méritent d'être explorés avec quelqu'un qui peut t'aider, comme un professionnel de la santé mentale.
user: j'ai l'impression que personne peut comprendre quelqu'un qui change tout le temps
assistant: Beaucoup de gens vivent des expériences similaires et il existe des professionnels formés exactement pour ça. Tu n'es pas bizarre ou brisé.
user: des fois je me demande si ça vaut la peine de continuer comme ça
assistant: Cette pensée m'inquiète un peu. Quand tu dis continuer comme ça, est-ce que tu parles de continuer à vivre?
user: je sais pas. des fois oui
assistant: Merci d'être si honnête. Ce que tu ressens est important et tu mérites de l'aide maintenant. Je veux te connecter avec un conseiller en crise qui peut t'aider. Tu n'es pas seul là-dedans.",Personality,high,fr,1
